시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
1518,1159000000,42,서울특별시,동작구,농심잔디마당,1159010900,1159068000,서울특별시 동작구 여의대방로 112(신대방동),4530,126.918684,37.496992,192809.3501,544173.3908
1519,1156000000,58,서울특별시,영등포구,대영고등학교 운동장,1156013200,1156067000,서울특별시 영등포구 도림로86길 16(신길동),3049.4,126.906155,37.503213,191702.0995,544864.8425
1520,1156000000,61,서울특별시,영등포구,당산근린공원,1156011300,1156055000,서울특별시 영등포구 당산로27길 12(당산동3가),1037,126.895791,37.525579,190788.4417,547348.2292
1521,1126000000,59,서울특별시,중랑구,원묵초등학교운동장,1126010400,1126062000,서울특별시 중랑구 숙선옹주로 109(묵동),3000,127.086162,37.617606,207606.9749,557560.5324
1522,1150000000,74,서울특별시,강서구,안골어린이공원,1150010300,1150059300,서울특별시 강서구 강서로18아길 15-9 (화곡동),2382,126.850839,37.53578,186816.6204,548485.6588
1523,1130500000,43,서울특별시,강북구,색동어린이공원,1130510300,1130561000,서울특별시 강북구 삼양로80나길 52(수유동),2172,127.020636,37.633176,201821.5438,559285.3192
1524,1130500000,48,서울특별시,강북구,체류지 마을마당(미아마을마당),1130510100,1130554500,서울특별시 강북구 오현로6길 106(미아동),1158,127.032948,37.61198,202909.1147,556933.0492
1525,1138000000,25,서울특별시,은평구,은평평화공원,1138010200,1138051000,서울특별시 은평구 서오릉로 지하47(녹번동),6984,126.923078,37.605416,193207.6685,556206.8757
1526,1138000000,29,서울특별시,은평구,불광중학교 운동장,1138010300,1138052000,서울특별시 은평구 불광로 180(불광동),6985,126.931457,37.623021,193949.0282,558160.1693
1527,1129000000,13,서울특별시,성북구,동구고등학교 운동장,1129010100,1129052500,서울특별시 성북구 성북로8길 71(성북동),1979,127.00654,37.593237,200577.5512,554852.2987
1528,1111000000,45,서울특별시,종로구,탑골공원,1111013800,1111061500,서울특별시 종로구 종로 99(종로2가),9300,126.988292,37.571317,198965.7437,552419.4687
1529,1132000000,52,서울특별시,도봉구,은행나무어린이공원,1132010700,1132051100,서울특별시 도봉구 창동 347-3,3199,127.043667,37.649603,203853.5697,561109.2794
1530,1111000000,61,서울특별시,종로구,명신초등학교 운동장,1111017400,1111067000,서울특별시 종로구 낙산길 250(창신동),2857,127.014503,37.581583,201281.0536,553558.9221
1531,1159000000,32,서울특별시,동작구,사당중학교 운동장,1159010700,1159064000,서울특별시 동작구 사당로9가길 58(사당동),2846,126.968789,37.487406,197239.6536,543106.7996
1532,1159000000,33,서울특별시,동작구,상도중학교 운동장,1159010700,1159065100,서울특별시 동작구 사당로2가길 72(사당동),4749,126.961828,37.490276,196624.2251,543425.5462
1533,1129000000,56,서울특별시,성북구,서울대학교 사범대학 부설 중학교 운동장,1129013500,1129070500,서울특별시 성북구 월곡로 36(종암동),18452,127.038968,37.595804,203441.3181,555137.8878
1534,1129000000,57,서울특별시,성북구,서울대학교 사범대학 부설 고등학교 운동장,1129013500,1129070500,서울특별시 성북구 월곡로 6(종암동),12736,127.037811,37.592727,203339.2852,554796.3585
1535,1171000000,2,서울특별시,송파구,올림픽공원,1171011100,1171056600,서울특별시 송파구 올림픽로 424(방이동),37270,127.116061,37.521353,210259.8194,546880.3458
1536,1171000000,6,서울특별시,송파구,오금공원,1171011200,1171057000,서울특별시 송파구 오금로 363(오금동),219167,127.131637,37.500811,211639.8997,544602.325
1537,1126000000,12,서울특별시,중랑구,중곡초등학교운동장,1126010100,1126054000,서울특별시 중랑구 면목로23길 20(면목동),4900,127.083592,37.574329,207384.3557,552757.0069
1538,1126000000,13,서울특별시,중랑구,면남초등학교운동장,1126010100,1126057000,서울특별시 중랑구 면목로30나길 38(면목동),3515,127.087957,37.577507,207769.6295,553110.105
1539,1126000000,14,서울특별시,중랑구,상봉중학교운동장,1126010200,1126058000,서울특별시 중랑구 상봉중앙로8나길 28(상봉동),4404,127.0905,37.601147,207991.7282,555734.0623
1540,1126000000,16,서울특별시,중랑구,신묵초등학교운동장,1126010400,1126063000,서울특별시 중랑구 묵동 246-12,6481,127.07548,37.607418,206664.8171,556428.919
1541,1129000000,65,서울특별시,성북구,개운산 공원,1129010300,1129053000,서울특별시 성북구 돈암동 산 6-23,6999,127.025277,37.596533,202232.2111,555218.4051
1542,1129000000,67,서울특별시,성북구,월곡인조잔디구장,1129013600,1129072500,서울특별시 성북구 화랑로13길 144(하월곡동),17309,127.042328,37.608664,203737.4228,556565.3606
1543,1129000000,68,서울특별시,성북구,서경대학교 운동장,1129013300,1129065000,서울특별시 성북구 서경로 124(정릉동),8650,127.012085,37.615409,201066.9774,557313.2255
1544,1126000000,20,서울특별시,중랑구,중화초등학교운동장,1126010600,1126069000,서울특별시 중랑구 신내로7가길 22(신내동),4170,127.094908,37.602932,208380.7284,555932.5262
1545,1126000000,4,서울특별시,중랑구,용마중학교운동장,1126010100,1126054000,서울특별시 중랑구 면목로28길 18(면목동),2702,127.085984,37.574051,207595.6423,552726.395
1546,1129000000,62,서울특별시,성북구,종암 5-1 어린이 공원,1129013500,1129069000,서울특별시 성북구 종암동 134-3,1965,127.03663,37.599639,203234.7452,555563.4784
1547,1129000000,58,서울특별시,성북구,홍익대학교 사범대학 부속 중-고등학교 운동장,1129010100,1129052500,서울특별시 성북구 성북로14가길 23(성북동),9518,127.003655,37.594074,200322.8062,554945.1599
1548,1126000000,10,서울특별시,중랑구,면목중학교운동장,1126010100,1126057500,서울특별시 중랑구 용마산로70길 37(면목동),4197,127.095754,37.582888,208457.7226,553707.9865
1549,1154500000,71,서울특별시,금천구,독산근린공원,1154510200,1154561000,서울특별시 금천구 범안로 1096(독산동),19100,126.8847,37.4631,189799.5295,540414.9617
1550,1154500000,72,서울특별시,금천구,해태공원,1154510300,1154566000,서울특별시 금천구 시흥동 871-24,962,126.9018,37.4578,191311.7359,539825.0198
1551,1154500000,73,서울특별시,금천구,진달래공원,1154510300,1154566000,서울특별시 금천구 시흥동 970-3,298,126.9049,37.4348,191583.4329,537272.0589
1552,1154500000,74,서울특별시,금천구,비둘기공원,1154510300,1154566000,서울특별시 금천구 시흥동 947-4,298,126.9062,37.4415,191699.2259,538015.5492
1553,1154500000,75,서울특별시,금천구,꾸러기공원,1154510300,1154566000,서울특별시 금천구 시흥동 943-16,165,126.9059,37.4432,191672.866,538204.2518
